_id,Reference area,Source,Time,Value
1,World,ILO - ILO Modelled Estimates,2009,27.300000000000000710542735760100185871124267578125
2,World,ILO - ILO Modelled Estimates,2010,27.39999999999999857891452847979962825775146484375
3,World,ILO - ILO Modelled Estimates,2011,27.300000000000000710542735760100185871124267578125
4,World,ILO - ILO Modelled Estimates,2012,26.800000000000000710542735760100185871124267578125
5,World,ILO - ILO Modelled Estimates,2013,26.699999999999999289457264239899814128875732421875
6,World,ILO - ILO Modelled Estimates,2014,26.89999999999999857891452847979962825775146484375
7,World,ILO - ILO Modelled Estimates,2015,27.199999999999999289457264239899814128875732421875
8,World,ILO - ILO Modelled Estimates,2016,27.5
9,World,ILO - ILO Modelled Estimates,2017,27.699999999999999289457264239899814128875732421875
10,World,ILO - ILO Modelled Estimates,2018,27.89999999999999857891452847979962825775146484375
11,World,ILO - ILO Modelled Estimates,2019,28.199999999999999289457264239899814128875732421875
12,World,ILO - ILO Modelled Estimates,2020,28.300000000000000710542735760100185871124267578125
13,World: Low income,ILO - ILO Modelled Estimates,2009,16.60000000000000142108547152020037174224853515625
14,World: Low income,ILO - ILO Modelled Estimates,2010,17.300000000000000710542735760100185871124267578125
15,World: Low income,ILO - ILO Modelled Estimates,2011,17.800000000000000710542735760100185871124267578125
16,World: Low income,ILO - ILO Modelled Estimates,2012,18.300000000000000710542735760100185871124267578125
17,World: Low income,ILO - ILO Modelled Estimates,2013,18.60000000000000142108547152020037174224853515625
18,World: Low income,ILO - ILO Modelled Estimates,2014,19
19,World: Low income,ILO - ILO Modelled Estimates,2015,19.5
20,World: Low income,ILO - ILO Modelled Estimates,2016,20.199999999999999289457264239899814128875732421875
21,World: Low income,ILO - ILO Modelled Estimates,2017,21.5
22,World: Low income,ILO - ILO Modelled Estimates,2018,21.60000000000000142108547152020037174224853515625
23,World: Low income,ILO - ILO Modelled Estimates,2019,21.89999999999999857891452847979962825775146484375
24,World: Low income,ILO - ILO Modelled Estimates,2020,21.89999999999999857891452847979962825775146484375
25,World: Lower-middle income,ILO - ILO Modelled Estimates,2009,20.60000000000000142108547152020037174224853515625
26,World: Lower-middle income,ILO - ILO Modelled Estimates,2010,20.199999999999999289457264239899814128875732421875
27,World: Lower-middle income,ILO - ILO Modelled Estimates,2011,20
28,World: Lower-middle income,ILO - ILO Modelled Estimates,2012,18.800000000000000710542735760100185871124267578125
29,World: Lower-middle income,ILO - ILO Modelled Estimates,2013,18.699999999999999289457264239899814128875732421875
30,World: Lower-middle income,ILO - ILO Modelled Estimates,2014,18.89999999999999857891452847979962825775146484375
31,World: Lower-middle income,ILO - ILO Modelled Estimates,2015,19
32,World: Lower-middle income,ILO - ILO Modelled Estimates,2016,19.199999999999999289457264239899814128875732421875
33,World: Lower-middle income,ILO - ILO Modelled Estimates,2017,19.199999999999999289457264239899814128875732421875
34,World: Lower-middle income,ILO - ILO Modelled Estimates,2018,19.39999999999999857891452847979962825775146484375
35,World: Lower-middle income,ILO - ILO Modelled Estimates,2019,19.89999999999999857891452847979962825775146484375
36,World: Lower-middle income,ILO - ILO Modelled Estimates,2020,19.199999999999999289457264239899814128875732421875
37,World: Upper-middle income,ILO - ILO Modelled Estimates,2009,28.800000000000000710542735760100185871124267578125
38,World: Upper-middle income,ILO - ILO Modelled Estimates,2010,29.39999999999999857891452847979962825775146484375
39,World: Upper-middle income,ILO - ILO Modelled Estimates,2011,29.800000000000000710542735760100185871124267578125
40,World: Upper-middle income,ILO - ILO Modelled Estimates,2012,30.10000000000000142108547152020037174224853515625
41,World: Upper-middle income,ILO - ILO Modelled Estimates,2013,30.699999999999999289457264239899814128875732421875
42,World: Upper-middle income,ILO - ILO Modelled Estimates,2014,30.89999999999999857891452847979962825775146484375
43,World: Upper-middle income,ILO - ILO Modelled Estimates,2015,31.199999999999999289457264239899814128875732421875
44,World: Upper-middle income,ILO - ILO Modelled Estimates,2016,31.5
45,World: Upper-middle income,ILO - ILO Modelled Estimates,2017,31.60000000000000142108547152020037174224853515625
46,World: Upper-middle income,ILO - ILO Modelled Estimates,2018,31.699999999999999289457264239899814128875732421875
47,World: Upper-middle income,ILO - ILO Modelled Estimates,2019,32.10000000000000142108547152020037174224853515625
48,World: Upper-middle income,ILO - ILO Modelled Estimates,2020,32.10000000000000142108547152020037174224853515625
49,World: High income,ILO - ILO Modelled Estimates,2009,32.39999999999999857891452847979962825775146484375
50,World: High income,ILO - ILO Modelled Estimates,2010,32.7999999999999971578290569595992565155029296875
51,World: High income,ILO - ILO Modelled Estimates,2011,33
52,World: High income,ILO - ILO Modelled Estimates,2012,33.2000000000000028421709430404007434844970703125
53,World: High income,ILO - ILO Modelled Estimates,2013,32.89999999999999857891452847979962825775146484375
54,World: High income,ILO - ILO Modelled Estimates,2014,33.10000000000000142108547152020037174224853515625
55,World: High income,ILO - ILO Modelled Estimates,2015,33.60000000000000142108547152020037174224853515625
56,World: High income,ILO - ILO Modelled Estimates,2016,34
57,World: High income,ILO - ILO Modelled Estimates,2017,34.5
58,World: High income,ILO - ILO Modelled Estimates,2018,34.89999999999999857891452847979962825775146484375
59,World: High income,ILO - ILO Modelled Estimates,2019,35.10000000000000142108547152020037174224853515625
60,World: High income,ILO - ILO Modelled Estimates,2020,35.89999999999999857891452847979962825775146484375
61,Africa,ILO - ILO Modelled Estimates,2009,22.10000000000000142108547152020037174224853515625
62,Africa,ILO - ILO Modelled Estimates,2010,21.89999999999999857891452847979962825775146484375
63,Africa,ILO - ILO Modelled Estimates,2011,23
64,Africa,ILO - ILO Modelled Estimates,2012,20
65,Africa,ILO - ILO Modelled Estimates,2013,18.199999999999999289457264239899814128875732421875
66,Africa,ILO - ILO Modelled Estimates,2014,18.89999999999999857891452847979962825775146484375
67,Africa,ILO - ILO Modelled Estimates,2015,19.10000000000000142108547152020037174224853515625
68,Africa,ILO - ILO Modelled Estimates,2016,20
69,Africa,ILO - ILO Modelled Estimates,2017,21.199999999999999289457264239899814128875732421875
70,Africa,ILO - ILO Modelled Estimates,2018,21
71,Africa,ILO - ILO Modelled Estimates,2019,21.10000000000000142108547152020037174224853515625
72,Africa,ILO - ILO Modelled Estimates,2020,20.800000000000000710542735760100185871124267578125
73,Americas,ILO - ILO Modelled Estimates,2009,37.2999999999999971578290569595992565155029296875
74,Americas,ILO - ILO Modelled Estimates,2010,37.7999999999999971578290569595992565155029296875
75,Americas,ILO - ILO Modelled Estimates,2011,37.7999999999999971578290569595992565155029296875
76,Americas,ILO - ILO Modelled Estimates,2012,38
77,Americas,ILO - ILO Modelled Estimates,2013,37.7999999999999971578290569595992565155029296875
78,Americas,ILO - ILO Modelled Estimates,2014,38
79,Americas,ILO - ILO Modelled Estimates,2015,38.5
80,Americas,ILO - ILO Modelled Estimates,2016,38.7000000000000028421709430404007434844970703125
81,Americas,ILO - ILO Modelled Estimates,2017,39.10000000000000142108547152020037174224853515625
82,Americas,ILO - ILO Modelled Estimates,2018,39.2999999999999971578290569595992565155029296875
83,Americas,ILO - ILO Modelled Estimates,2019,39.10000000000000142108547152020037174224853515625
84,Americas,ILO - ILO Modelled Estimates,2020,39.7000000000000028421709430404007434844970703125
