_id,Country,Response_measure,date_start,date_end
1,Austria,AdaptationOfWorkplace,2020-03-16T00:00:00,4/13/2020
2,Austria,AdaptationOfWorkplace,2021-04-01T00:00:00,NA
3,Austria,BanOnAllEvents,2020-11-03T00:00:00,5/18/2021
4,Austria,ClosDaycare,2020-03-16T00:00:00,5/4/2020
5,Austria,ClosDaycare,2020-11-17T00:00:00,12/7/2020
6,Austria,ClosHigh,2020-03-16T00:00:00,9/30/2020
7,Austria,ClosHighPartial,2020-11-03T00:00:00,NA
8,Austria,ClosPrim,2020-11-17T00:00:00,12/7/2020
9,Austria,ClosPrim,2020-12-26T00:00:00,2/6/2021
10,Austria,ClosPrimPartial,2020-03-16T00:00:00,5/18/2020
11,Austria,ClosPubAny,2020-03-16T00:00:00,4/13/2020
12,Austria,ClosPubAny,2020-05-02T00:00:00,5/14/2020
13,Austria,ClosPubAny,2020-11-16T00:00:00,12/6/2020
14,Austria,ClosPubAny,2020-12-28T00:00:00,2/6/2021
15,Austria,ClosPubAnyPartial,2020-04-14T00:00:00,5/1/2020
16,Austria,ClosPubAnyPartial,2020-05-15T00:00:00,11/15/2020
17,Austria,ClosPubAnyPartial,2020-12-07T00:00:00,12/27/2020
18,Austria,ClosPubAnyPartial,2021-02-07T00:00:00,NA
19,Austria,ClosSec,2020-11-03T00:00:00,2/7/2021
20,Austria,ClosSecPartial,2020-03-16T00:00:00,6/3/2020
21,Austria,ClosSecPartial,2021-02-08T00:00:00,5/16/2021
22,Austria,EntertainmentVenues,2020-03-16T00:00:00,4/30/2020
23,Austria,EntertainmentVenues,2020-11-03T00:00:00,2/7/2021
24,Austria,EntertainmentVenuesPartial,2021-02-08T00:00:00,NA
25,Austria,GymsSportsCentres,2020-11-03T00:00:00,5/18/2021
26,Austria,GymsSportsCentresPartial,2021-05-19T00:00:00,NA
27,Austria,HotelsOtherAccommodation,2020-03-31T00:00:00,5/29/2020
28,Austria,HotelsOtherAccommodation,2020-11-03T00:00:00,5/18/2021
29,Austria,HotelsOtherAccommodationPartial,2021-05-19T00:00:00,NA
30,Austria,IndoorOver100,2020-03-11T00:00:00,6/30/2020
31,Austria,IndoorOver1000,2020-08-01T00:00:00,9/13/2020
32,Austria,IndoorOver50,2020-09-14T00:00:00,11/2/2020
33,Austria,IndoorOver500,2020-07-01T00:00:00,7/31/2020
34,Austria,MasksMandatoryAllSpaces,2020-09-14T00:00:00,6/9/2021
35,Austria,MasksMandatoryClosedSpaces,2020-04-06T00:00:00,6/14/2020
36,Austria,MasksMandatoryClosedSpaces,2021-06-10T00:00:00,NA
37,Austria,MasksMandatoryClosedSpacesPartial,2020-06-15T00:00:00,9/13/2020
38,Austria,MasksVoluntaryClosedSpacesPartial,2020-03-31T00:00:00,4/5/2020
39,Austria,MassGather50,2020-11-03T00:00:00,5/18/2021
40,Austria,MassGather50Partial,2020-09-14T00:00:00,11/2/2020
41,Austria,MassGatherAll,2020-03-11T00:00:00,7/31/2020
42,Austria,MassGatherAll,2020-11-03T00:00:00,5/18/2021
43,Austria,MassGatherAllPartial,2020-08-01T00:00:00,11/2/2020
44,Austria,NonEssentialShops,2020-03-16T00:00:00,4/13/2020
45,Austria,NonEssentialShops,2020-11-17T00:00:00,12/6/2020
46,Austria,NonEssentialShops,2020-12-26T00:00:00,2/7/2021
47,Austria,NonEssentialShops,2021-11-22T00:00:00,NA
48,Austria,NonEssentialShopsPartial,2020-04-14T00:00:00,5/1/2020
49,Austria,NonEssentialShopsPartial,2020-12-07T00:00:00,12/25/2020
50,Austria,NonEssentialShopsPartial,2021-02-08T00:00:00,11/21/2021
51,Austria,OutdoorOver100,2020-09-14T00:00:00,11/2/2020
52,Austria,OutdoorOver1000,2020-08-01T00:00:00,9/13/2020
53,Austria,OutdoorOver500,2020-03-11T00:00:00,7/31/2020
54,Austria,PlaceOfWorship,2020-03-16T00:00:00,5/14/2020
55,Austria,PlaceOfWorship,2020-11-16T00:00:00,12/6/2020
56,Austria,PlaceOfWorship,2020-12-28T00:00:00,2/6/2021
57,Austria,PlaceOfWorshipPartial,2020-05-15T00:00:00,11/15/2020
58,Austria,PlaceOfWorshipPartial,2020-12-07T00:00:00,12/27/2020
59,Austria,PlaceOfWorshipPartial,2021-02-07T00:00:00,NA
60,Austria,PrivateGatheringRestrictions,2020-03-16T00:00:00,4/30/2020
61,Austria,PrivateGatheringRestrictions,2020-10-23T00:00:00,11/16/2020
62,Austria,PrivateGatheringRestrictionsPartial,2021-05-19T00:00:00,NA
63,Austria,QuarantineForInternationalTravellers,2020-03-10T00:00:00,NA
64,Austria,RegionalStayHomeOrder,2021-04-01T00:00:00,5/2/2021
65,Austria,RestaurantsCafes,2020-03-16T00:00:00,5/14/2020
66,Austria,RestaurantsCafes,2020-11-03T00:00:00,5/14/2021
67,Austria,RestaurantsCafes,2021-11-22T00:00:00,NA
68,Austria,RestaurantsCafesPartial,2021-05-15T00:00:00,11/21/2021
69,Austria,SocialCircle,2020-11-17T00:00:00,5/18/2021
70,Austria,StayHomeGen,2020-03-10T00:00:00,3/15/2020
71,Austria,StayHomeOrder,2020-03-16T00:00:00,4/30/2020
72,Austria,StayHomeOrder,2020-11-17T00:00:00,12/6/2020
73,Austria,StayHomeOrder,2020-12-26T00:00:00,2/7/2021
74,Austria,StayHomeOrder,2021-11-22T00:00:00,NA
75,Austria,StayHomeOrderPartial,2020-11-03T00:00:00,11/16/2020
76,Austria,StayHomeOrderPartial,2020-12-07T00:00:00,12/25/2020
77,Austria,StayHomeOrderPartial,2021-02-08T00:00:00,5/15/2021
78,Austria,StayHomeOrderPartial,2021-11-15T00:00:00,11/21/2021
79,Austria,Teleworking,2020-03-10T00:00:00,NA
80,Belgium,BanOnAllEvents,2020-11-02T00:00:00,3/7/2021
81,Belgium,BanOnAllEventsPartial,2021-05-01T00:00:00,6/8/2021
82,Belgium,ClosDaycare,2020-05-01T00:00:00,6/2/2020
83,Belgium,ClosDaycare,2020-11-12T00:00:00,11/15/2020
84,Belgium,ClosHigh,2020-03-13T00:00:00,9/20/2020
85,Belgium,ClosHighPartial,2020-09-21T00:00:00,8/29/2021
86,Belgium,ClosPrim,2020-03-13T00:00:00,5/17/2020
87,Belgium,ClosPrim,2020-11-12T00:00:00,11/16/2020
88,Belgium,ClosPrim,2021-03-29T00:00:00,4/18/2021
89,Belgium,ClosPrimPartial,2020-05-18T00:00:00,6/8/2020
90,Belgium,ClosPubAny,2020-03-13T00:00:00,5/3/2020
91,Belgium,ClosPubAnyPartial,2020-05-04T00:00:00,NA
92,Belgium,ClosSec,2020-03-13T00:00:00,5/17/2020
93,Belgium,ClosSec,2020-11-12T00:00:00,11/15/2020
94,Belgium,ClosSec,2021-03-29T00:00:00,4/18/2021
95,Belgium,ClosSecPartial,2020-05-18T00:00:00,8/28/2020
96,Belgium,EntertainmentVenues,2020-03-13T00:00:00,5/17/2020
97,Belgium,EntertainmentVenues,2020-11-02T00:00:00,4/12/2021
98,Belgium,EntertainmentVenuesPartial,2020-05-18T00:00:00,11/1/2020
99,Belgium,EntertainmentVenuesPartial,2021-04-13T00:00:00,10/1/2021
100,Belgium,GymsSportsCentres,2020-03-13T00:00:00,5/3/2020
101,Belgium,GymsSportsCentresPartial,2020-05-04T00:00:00,7/1/2020
102,Belgium,GymsSportsCentresPartial,2020-11-02T00:00:00,NA
103,Belgium,IndoorOver1000,2020-03-10T00:00:00,3/17/2020
104,Belgium,IndoorOver500,2020-07-01T00:00:00,11/1/2020
